Image Class,Image File,Brisque Score
lung_scc,lungscc2908.jpeg,44.2107805691754
lung_scc,lungscc2605.jpeg,44.461381400245585
lung_scc,lungscc3376.jpeg,50.84591221005596
lung_scc,lungscc3961.jpeg,56.28804419157538
lung_scc,lungscc4286.jpeg,50.89486585424024
lung_scc,lungscc424.jpeg,47.92051212542137
lung_scc,lungscc4729.jpeg,46.09146729619542
lung_scc,lungscc2633.jpeg,54.47619768004242
lung_scc,lungscc138.jpeg,52.73490041931527
lung_scc,lungscc2337.jpeg,51.66838417673088
lung_scc,lungscc1962.jpeg,51.66251980190211
lung_scc,lungscc2676.jpeg,47.74212947399903
lung_scc,lungscc3529.jpeg,56.13014909481487
lung_scc,lungscc2977.jpeg,52.451814554308584
lung_scc,lungscc404.jpeg,50.99883475080682
lung_scc,lungscc1224.jpeg,48.43621783085936
lung_scc,lungscc4432.jpeg,53.89609413119783
lung_scc,lungscc179.jpeg,49.71561429713901
lung_scc,lungscc969.jpeg,51.99801560526075
lung_scc,lungscc3945.jpeg,47.02020906522543
lung_scc,lungscc3384.jpeg,51.7634956240274
lung_scc,lungscc3894.jpeg,53.5372927303375
lung_scc,lungscc1245.jpeg,47.0456542394073
lung_scc,lungscc3339.jpeg,48.904534856636445
lung_scc,lungscc2161.jpeg,49.893027359083675
lung_scc,lungscc3510.jpeg,49.064511223160224
lung_scc,lungscc296.jpeg,49.48298200738063
lung_scc,lungscc1026.jpeg,50.43116469797732
lung_scc,lungscc1669.jpeg,51.39461664476832
lung_scc,lungscc128.jpeg,50.99131596823028
lung_scc,lungscc2520.jpeg,49.56027060813253
lung_scc,lungscc911.jpeg,53.29654562944674
lung_scc,lungscc2668.jpeg,52.90853799181863
lung_scc,lungscc1560.jpeg,49.75567878887918
lung_scc,lungscc2162.jpeg,51.14797630320081
lung_scc,lungscc2536.jpeg,44.987596395465374
lung_scc,lungscc1083.jpeg,44.374652835777596
lung_scc,lungscc1157.jpeg,57.403571177276916
lung_scc,lungscc1753.jpeg,49.85487013031761
lung_scc,lungscc2163.jpeg,52.83137360413352
lung_scc,lungscc159.jpeg,54.932285865850275
lung_scc,lungscc4787.jpeg,52.22562132157779
lung_scc,lungscc3593.jpeg,51.01559693457497
lung_scc,lungscc1286.jpeg,47.50909235293531
lung_scc,lungscc3630.jpeg,52.955909492353015
lung_scc,lungscc3533.jpeg,56.84064038332346
lung_scc,lungscc26.jpeg,52.721020912793364
lung_scc,lungscc2385.jpeg,48.24440104736388
lung_scc,lungscc2202.jpeg,54.04125316927568
lung_scc,lungscc864.jpeg,45.276066646305566
lung_scc,lungscc1393.jpeg,50.50650898028729
lung_scc,lungscc4170.jpeg,47.08802880666198
lung_scc,lungscc3037.jpeg,54.12837339502639
lung_scc,lungscc1125.jpeg,48.04301502721714
lung_scc,lungscc1711.jpeg,49.18307766579878
lung_scc,lungscc4171.jpeg,48.61288433987281
lung_scc,lungscc4135.jpeg,50.50280708274394
lung_scc,lungscc2026.jpeg,46.81464497476654
lung_scc,lungscc4826.jpeg,45.855310054464866
lung_scc,lungscc2636.jpeg,54.34837835961807
lung_scc,lungscc3813.jpeg,49.05602771175788
lung_scc,lungscc2820.jpeg,45.14915128257971
lung_scc,lungscc429.jpeg,55.791291804812744
